Наименование ,Категория цены,"Цена, руб",Категория,Ориентация,Стили,Цвет,"Размеры, см",Автор,Год создания,Популярность
Фермер,20 000 - 50 000,38 000,Живопись,Вертикальная,Экспрессионизм,Темные оттенки,60 на 45,Саманта Холл (Samantha Hall),2010,8
,,,,,,,,,,
Гламур в театральных декорациях,200 000 - 500 000,225 000,Digital,Горизонтальная,Концептуальное искусство,Светлые оттенки,80 на 120,Мигель Ривера (Miguel Rivera),2012,9
Едоки лимонов,100 000 - 200 000,180 000,Живопись,Горизонтальная,Концептуальное искусство,Темные оттенки,75 на 100,Саманта Холл (Samantha Hall),2017,3
Концептуализм в философии,50 000 - 100 000,85 000,Графика,Горизонтальная,Концептуальное искусство,Темные оттенки,75 на 100,Аннабель Смит (Annabelle Smith) ,2010,4
Свидание с искусством,100 000 - 200 000,127 000,Живопись,Горизонтальная,Концептуальное искусство,Яркие оттенки,80 на 110,Аннабель Смит (Annabelle Smith) ,2009,6
Художник,50 000 - 100 000,95 000,Графика,Вертикальная,Концептуальное искусство,Темные оттенки,100 на 65,Лина Рамирес (Lina Ramirez),2019,1
,,,,,,,,,,
Кубизм натюрморт,50 000 - 100 000,78 000,Живопись,Вертикальная,Фигуративное искусство,Яркие оттенки,110 на 50,Саманта Холл (Samantha Hall),2019,5
Кубизм,100 000 - 200 000,180 000,Живопись,Вертикальная,Фигуративное искусство,Теплая цветовая гамма,100 на 65,Лина Рамирес (Lina Ramirez),2010,7
Онтарио,До 20 000,11 000,Digital,Вертикальная,Фигуративное искусство,Холодная цветовая гамма,80 на 70,Мигель Ривера (Miguel Rivera),2012,8
,,,,,,,,,,
Авангард. Пейзажи в интерьере,200 000 - 500 000,420 000,Графика,Горизонтальная,Интерьерное искусство,Светлые оттенки,75 на 100,Саманта Холл (Samantha Hall),2010,9
Картины,50 000 - 100 000,55 000,Живопись,Горизонтальная,Интерьерное искусство,Теплая цветовая гамма,65 на 90,Лина Рамирес (Lina Ramirez),2008,10
Классика в современном интерьере,100 000 - 200 000,101 000,Фотография,Горизонтальная,Интерьерное искусство,Светлые оттенки,80 на 120,Аннабель Смит (Annabelle Smith) ,2012,3
Примеры работ,100 000 - 200 000,180 000,Графика,Горизонтальная,Интерьерное искусство,Яркие оттенки,80 на 120,Мигель Ривера (Miguel Rivera),2017,6
"Пространство, свет и тишина",200 000 - 500 000,225 000,Живопись,Горизонтальная,Интерьерное искусство,Теплая цветовая гамма,75 на 90,Аннабель Смит (Annabelle Smith) ,2010,9
Старина,50 000 - 100 000,78 000,Живопись,Горизонтальная,Интерьерное искусство,Темные оттенки,70 на 95,Мигель Ривера (Miguel Rivera),2009,7
Стены,20 000 - 50 000,35 000,Фотография,Горизонтальная,Интерьерное искусство,Светлые оттенки,70 на 100,Аннабель Смит (Annabelle Smith) ,2019,8
Уютный уголок,50 000 - 100 000,57 000,Графика,Горизонтальная,Интерьерное искусство,Светлые оттенки,65 на 100,Мигель Ривера (Miguel Rivera),2009,10
Шторы,100 000 - 200 000,137 000,Живопись,Горизонтальная,Интерьерное искусство,Теплая цветовая гамма,80 на 100,Лина Рамирес (Lina Ramirez),2008,1
,,,,,,,,,,
Василиса ,До 20 000,17 000,Живопись,Вертикальная,Pop Art,Яркие оттенки,90 на 65,Амелия Кастильо (Amelia Castillo),2011,2
Женщина,100 000 - 200 000,144 000,Живопись,Вертикальная,Pop Art,Яркие оттенки,95 на 70,Саманта Холл (Samantha Hall),2009,3
Зебра,200 000 - 500 000,420 000,Живопись,Вертикальная,Pop Art,Яркие оттенки,85 на 80,Аннабель Смит (Annabelle Smith) ,2017,8
Портрет,20 000 - 50 000,25 000,Живопись,Вертикальная,Pop Art,Яркие оттенки,90 на 85,Амелия Кастильо (Amelia Castillo),2015,5
Поцелуй,100 000 - 200 000,128 000,Живопись,Горизонтальная,Pop Art,Темные оттенки,40 на 75,Аннабель Смит (Annabelle Smith) ,2016,9
Слава,50 000 - 100 000,78 000,Digital,Вертикальная,Pop Art,Яркие оттенки,75 на 70,Амелия Кастильо (Amelia Castillo),2009,4
Усы,50 000 - 100 000,75 000,Живопись,Вертикальная,Pop Art,Яркие оттенки,75 на 70,Аннабель Смит (Annabelle Smith) ,2008,1
,,,,,,,,,,
Вздох,До 20 000,15 000,Графика,Вертикальная,Street Art,Теплая цветовая гамма,70 на 50,Аннабель Смит (Annabelle Smith) ,2017,6
Новый Мурал,20 000 - 50 000,30 000,Фотография,Вертикальная,Street Art,Яркие оттенки,90 на 80,Амелия Кастильо (Amelia Castillo),2011,5
Падение философа,50 000 - 100 000,70 000,Фотография,Горизонтальная,Street Art,Теплая цветовая гамма,50 на 110,Эмиль Легран (Emile Legrand),2009,1
Стена,50 000 - 100 000,78 000,Фотография,Горизонтальная,Street Art,Яркие оттенки,80 на 100,Саманта Холл (Samantha Hall),2017,2
,,,,,,,,,,
12 касаний,50 000 - 100 000,75 000,Живопись,Горизонтальная,Архитектура,Бледные оттенки,80 на 110,Мигель Ривера (Miguel Rivera),2017,8
Архитектурный пейзаж,100 000 - 200 000,125 000,Живопись,Горизонтальная,Архитектура,Темные оттенки,80 на 110,Эмиль Легран (Emile Legrand),2011,2
Времена суток,100 000 - 200 000,180 000,Живопись,Вертикальная,Архитектура,Холодная цветовая гамма,95 на 70,Мигель Ривера (Miguel Rivera),2009,7
Дождь,100 000 - 200 000,165 000,Живопись,Вертикальная,Архитектура,Бледные оттенки,60 на 90,Амелия Кастильо (Amelia Castillo),2017,4
Заброшенный дом,50 000 - 100 000,78 000,Живопись,Горизонтальная,Архитектура,Ч/б,90 на 120,Мигель Ривера (Miguel Rivera),2015,10
Кубофутуризм,200 000 - 500 000,250 000,Живопись,Вертикальная,Архитектура,Холодная цветовая гамма,90 на 100,Саманта Холл (Samantha Hall),2016,1
Метрополитен,200 000 - 500 000,300 000,Живопись,Горизонтальная,Архитектура,Темные оттенки,90 на 110,Аннабель Смит (Annabelle Smith) ,2009,2
Поворот улицы,200 000 - 500 000,375 000,Живопись,Горизонтальная,Архитектура,Темные оттенки,70 на 100,Эмиль Легран (Emile Legrand),2008,7
Собор,100 000 - 200 000,116 000,Живопись,Вертикальная,Архитектура,Яркие оттенки,100 на 80,Саманта Холл (Samantha Hall),2017,5
